이름,소속,직위,특화분야,특화산업,경력(년)
강문정,탈피오트,대표이사,"R&D/기술사업화, 고객검증/사업개발, 빅데이터/AI",전분야,28
강성대,(주)한국인공지능검증원,책임연구원,"IP/인증, R&D/기술사업화, 빅데이터/AI","금융/보험/핀테크, 블록체인/딥테크/AI, 환경/에너지",15
강은하,새봄커뮤니케이션,대표,"투자유치(IR), 홍보마케팅","모빌리티/교통, 여행/레저, 전분야",22
강재상,(주)패스파인더넷,공동대표,"B2B영업, 고객검증/사업개발, 홍보마케팅",전분야,21
고성재,NBH캐피탈,상무,"빅데이터/AI, 세무/회계/재무, 투자유치(IR)","여행/레저, 푸드/농업, 피트니스/스포츠",23
고일원,한국자원경제연구소,소장,"IP/인증, R&D/기술사업화, 빅데이터/AI","교육, 블록체인/딥테크/AI, 환경/에너지",23
구태훈,미네타브룩벤처스(구 빅뱅벤처스 주식회사),대표,"SW
  개발(웹/앱/SaaS), 고객검증/사업개발, 빅데이터/AI, 세무/회계/재무, 투자유치(IR), 해외 진출, 홍보마케팅","광고/마케팅, 금융/보험/핀테크, 모빌리티/교통, 블록체인/딥테크/AI, 여행/레저, 인사/비즈니스/법률, 커머스, 통신/보안/데이터, 푸드/농업, 피트니스/스포츠",10
권유진,주식회사 후시파트너스,수석 매니저,"B2B영업, 고객검증/사업개발, 오픈이노베이션","부동산/건설, 헬스케어/바이오, 환경/에너지",9
권태형,미시간벤처캐피탈,상무,"오픈이노베이션, 투자유치(IR)","블록체인/딥테크/AI, 콘텐츠/예술, 푸드/농업",15
금동우,DP Real Estate Japan G.K.,법인장,"오픈이노베이션, 투자유치(IR), 해외 진출","광고/마케팅, 금융/보험/핀테크, 커머스",24
김건영,브라운컨설팅,대표,"오픈이노베이션, 투자유치(IR)","소셜미디어/커뮤니티, 콘텐츠/예술, 환경/에너지",7
김경복,(주)에이씨엔디씨,공동대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","여행/레저, 콘텐츠/예술",16
김경아,택스 큐레이터,대표 세무사,"세무/회계/재무, 유통/판로, 투자유치(IR)",전분야,8
김기영,아티피셜소사이어티,대표,빅데이터/AI,"교육, 블록체인/딥테크/AI",11
김다솔,패스트파이브,프리랜서,"CS/CX, 고객검증/사업개발","교육, 커머스, 콘텐츠/예술",11
김대현,라이프오아시스,PO,"CS/CX, 해외 진출","광고/마케팅, 소셜미디어/커뮤니티",4
김동규,신용보증기금 강남스타트업지점,부지점장,"세무/회계/재무, 오픈이노베이션, 투자유치(IR)",전분야,20
김민석,블루카본,본부장,"IP/인증, R&D/기술사업화, 고객검증/사업개발",환경/에너지,25
김병훈,K-Startup Center Tokyo,센터장,"고객검증/사업개발, 오픈이노베이션, 해외 진출","광고/마케팅, 블록체인/딥테크/AI, 헬스케어/바이오",26
김병희,코맥스벤처러스,대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","금융/보험/핀테크, 부동산/건설, 전분야",14
김성은,모드니파트너스,대표,"R&D/기술사업화, 투자유치(IR), 해외 진출","뷰티/화장품, 푸드/농업, 헬스케어/바이오",15
김성일,비즈니케이션,대표,"고객검증/사업개발, 투자유치(IR), 해외 진출",전분야,10
김성하,대덕벤처파트너스(유),파트너,"R&D/기술사업화, 투자유치(IR)","모빌리티/교통, 블록체인/딥테크/AI, 제조/하드웨어, 환경/에너지",8
김성현,위포커스 특허법률사무소,대표 변리사,"IP/인증, R&D/기술사업화, 법무/법률","모빌리티/교통, 블록체인/딥테크/AI, 통신/보안/데이터",15
김세호,INTEREST,대표,고객검증/사업개발,광고/마케팅,27
김세환,킹고투자파트너스,이사,투자유치(IR),전분야,15
김소라,솔벤처랩,대표,홍보마케팅,"뷰티/화장품, 소셜미디어/커뮤니티, 패션",20
김영민,주식회사 피트,대표,"B2B영업, UX&UI디자인/브랜딩","광고/마케팅, 콘텐츠/예술, 통신/보안/데이터",10
김예진,Node 41.5 Ventures,벤처파트너,"투자유치(IR), 해외 진출",전분야,14
김용범,법무법인 오킴스,대표,법무/법률,인사/비즈니스/법률,15
김용현,크리에이티브 파트너스,대표,"고객검증/사업개발, 세무/회계/재무","광고/마케팅, 금융/보험/핀테크, 부동산/건설",10
